დაბადება,თავი პირველი,0,1,თავდაპირველაღ ღმერთმა შექმნა ცა და მიწა.,1,დასაბამად ქმნნა ღმერთმან ცაჲ და ქუეყანაჲ.
დაბადება,თავი პირველი,1,2,"მიწა იყო უსახო და უდაბური, ბნელი იდო უფსკრულზე და სული 
		ღვთისა იძვროდა წყლებს ზემოთ.",2,"ხოლო ქუეყანაჲ იყო უხილავ და განუმზადებელ და ბნელი ზედა 
		უფსკრულთა. და სული ღმრთისაჲ იქცეოდა ზედა წყალთა."
დაბადება,თავი პირველი,2,3,თქვა ღმერთმა: იყოს ნათელი! და იქმნა ნათელი.,3,და თქუა ღმერთმან: იქმენინ ნათელი და იქმნა ნათელი.
დაბადება,თავი პირველი,3,4,"და ნახა ღმერთმა, რომ ნათელი კარგი იყო, და გაჰყარა 
		ღმერთმა ნათელი და ბნელი.",4,"და იხილა ღმერთმან ნათელი, რამეთუ კეთილ. და განწვალა 
		ღმერთმან შორის ნათლისა და შორის ბნელისა."
დაბადება,თავი პირველი,4,5,"ნათელს ღმერთმა უწოდა დღე და ბნელს უწოდა ღამე. იყო 
		საღამო, იყო დილა - პირველი დღე.",5,"და უწოდა ღმერთმან ნათელსა დღე და ბნელსა უწოდა ღამე. და 
		იქმნა მწუხრი და იქმნა განთიად დღე ერთი."
დაბადება,თავი პირველი,5,6,"თქვა ღმერთმა: იყოს წყალთა შორის მყარი და გაჰყაროს 
		წყლები.",6,"და თქუა ღმერთმან: იქმენინ სამყარო შორის წყლისა და იყავნ 
		განმყოფელ შორის წყლისა და წყლისა. და იქმნა ეგრეთ."
დაბადება,თავი პირველი,6,7,"გააჩინა ღმერთმა მყარი და გაჰყარა ერთმანეთისგან წყალი, 
		რომელიც არის მყარს ქვემოთ, და წყალი, რომელიც არის მყარს ზემოთ. და იქმნა 
		ასე.",7,"და განყო ღმერთმან შორის წყლისა, რომელი იყო ქუეშე კერძო 
		სამყაროჲსა და შორის წყლისა ზედა კერძო სამყაროჲსა."
დაბადება,თავი პირველი,7,8,"მყარს ღმერთმა უწოდა ცა. იყო საღამო, იყო დილა - მეორე 
		დღე.",8,"და უწოდა ღმერთმან სამყაროსა ცაჲ და იხილა ღმერთმან, 
		რამეთუ კეთილ. და იქმნა მწუხრი და იქმნა განთიად დღე მეორე."
დაბადება,თავი პირველი,8,9,"თქვა ღმერთმა: შეგროვდეს ერთგან ცისქვეშეთის წყალი და 
		გამოჩნდეს ხმელეთი. და იქმნა ასე.",9,"და თქუა ღმერთმა შეკერბინ წყალი ქუეშე კერძო ცისა 
		შესაკრებელსა ერთსა, და გამოჩნდინ ჴმელი. და იქმნა ეგრეთ. და შეკრბა წყალი 
		ქუეშე კერძო ცისა შესაკრებელთა მათთა. და გამოჩნდა ჴმელი."
დაბადება,თავი პირველი,9,10,"ხმელეთს ღმერთმა უწოდა მიწა და შეგროვილ წყალს უწოდა 
		ზღვა. დაინახა ღმერთმა, რომ კარგი იყო.",10,"და უწოდა ღმერთმან ჴმელსა ქუეყანაჲ და შესაკრებელსა 
		წყალთასა უწოდა ზღუებ. და იხილა ღმერთმან, რამეთუ კეთილ."
დაბადება,თავი პირველი,10,11,"თქვა ღმერთმა: აღმოაცენოს მიწამ მცენარეული - ბალახი, 
		თესლის მთესველი, ხე ნაყოფიერი, თესლოვანი ნაყოფის მომტანი მიწაზე თავისი 
		გვარისდა მიხედვით. და იქმნა ასე.",11,"და თქუა ღმერთმან: აღმოამორჩენ ქუეყანამან მწუანვილი 
		თივისაჲ. მთესველი თესლისაჲ, ნათესავობისაებრ და მსგავსებისა და ხე 
		ნაყოფიერი მყოფელი ნაყოფისა, რომლისა თესლი მისი მის თანა მსგავსებისაებრ 
		ქუეყანასა ზედა. და იქმნა ეგრეთ."
